activity_id,assay_id,standard_type,pchembl_value,tid,target_type,pref_name,class_level,lotus_id,pathway,superclass,class,pathway_superclass
1148728,30789,Ki,11.0,12159,SINGLE PROTEIN,Hydrolase,2.0,LTS0069464,Carbohydrates,Other,Other,"Carbohydrates, Other"
370424,30790,Ki,11.0,12159,SINGLE PROTEIN,Hydrolase,2.0,LTS0186195,Carbohydrates,Other,Other,"Carbohydrates, Other"
12437631,908844,Ki,11.0,101020,SINGLE PROTEIN,Nicotinic acetylcholine receptor alpha subunit,4.0,LTS0030789,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
1022012,161879,IC50,10.8,19650,SINGLE PROTEIN,AGC protein kinase PKA family,5.0,LTS0265204,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18706560,1784569,IC50,10.8,104127,SINGLE PROTEIN,Transferase,2.0,LTS0152175,Amino acids and Peptides,Other,Other,"Amino acids and Peptides, Other"
1022013,202414,IC50,10.7,10856,SINGLE PROTEIN,CAMK protein kinase MLCK family,5.0,LTS0265204,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
1088032,143393,Ki,10.66,12717,SINGLE PROTEIN,Nicotinic acetylcholine receptor beta subunit,4.0,LTS0030789,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
249109,214154,Ki,10.6,12751,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group I member 1,5.0,LTS0173185,Terpenoids,Steroids,Vitamin D3 and derivatives,"Terpenoids, Steroids"
2697115,578992,Ki,10.6,10023,SINGLE PROTEIN,Nicotinic acetylcholine receptor alpha subunit,4.0,LTS0030789,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
14733375,1363478,Kd,10.54,102699,SINGLE PROTEIN,Secreted protein,1.0,LTS0162203,Terpenoids,Steroids,Spirostane steroids,"Terpenoids, Steroids"
19491373,1936697,EC50,10.46,119204,SINGLE PROTEIN,Family A G protein-coupled receptor,2.0,LTS0157382,Alkaloids,Histidine alkaloids,Imidazole alkaloids,"Alkaloids, Histidine alkaloids"
18012274,1654816,IC50,10.46,11092,SINGLE PROTEIN,Membrane receptor,1.0,LTS0237390,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
